0.	0.
0.0005	12330.376946277658
0.001	24660.748100716584
0.0015	36991.10767149475
0.002	49321.44986685434
0.0025	61651.76889498489
0.003	73982.05896458337
0.0035	86312.31428408212
0.004	98642.61272563059
0.0045000000000000005	110973.02880972263
0.005	123303.38970394545
0.0055	135633.68751313514
0.006	147963.91434661765
0.006500000000000001	160294.06231823075
0.007	172624.12354642537
0.0075	184954.0901542631
0.008	197283.95426952283
0.0085	209613.70802471746
0.009000000000000001	221943.34355716704
0.0095	234272.8374378719
0.01	246602.01115562432
0.0105	258931.04474970684
0.011	271259.93209667306
0.0115	283588.6670828236
0.012	295917.2435978117
0.0125	308245.6555443649
0.013000000000000001	320573.89683188056
0.0135	332901.96137806535
0.014	345229.84310898517
0.0145	357557.535959087
0.015	369885.0338712609
0.0155	382212.3307951731
0.016	394539.4206940319
0.0165	406866.2975346539
0.017	419192.95529405226
0.0175	431519.3041294735
0.018000000000000002	443845.395487665
0.0185	456171.25152017525
0.019	468496.8671778975
0.0195	480822.237418441
0.02	493147.357206075
0.0205	505472.22151181166
0.021	517796.82531341416
0.021500000000000002	530121.1635954032
0.022	542445.2313491143
0.0225	554769.0235726945
0.023	567092.5412479334
0.0235	579415.7799173554
0.024	591738.7279467392
0.0245	604061.3802755432
0.025	616383.731788668
0.025500000000000002	628705.7774393244
0.026000000000000002	641027.5121670306
0.0265	653348.9309181371
0.027	665670.0286458624
0.0275	677990.8003103227
0.028	690311.2408785365
0.0285	702631.3453266926
0.029	714951.1086316637
0.029500000000000002	727270.5257831779
0.03	739589.5917761378
0.0305	751908.2169440181
0.031	764226.0505130045
0.0315	776543.5236293076
0.032	788860.635679727
0.0325	801177.3860476372
0.033	813493.7741129779
0.0335	825809.7992522893
0.034	838125.4608386745
0.0345	850440.7582418422
0.035	862755.6908280912
0.035500000000000004	875070.2579603218
0.036000000000000004	887384.458998027
0.0365	899698.2488845945
0.037	912011.6644975372
0.0375	924324.7128399776
0.038	936637.3937028632
0.0385	948949.7068654101
0.039	961261.6521072167
0.0395	973573.2292052442
0.04	985884.4379338103
0.0405	998195.2780645709
0.041	1.0105057493665644e6
0.0415	1.0228158516061903e6
0.042	1.0351255845424152e6
0.0425	1.0474349479458273e6
0.043000000000000003	1.059743941570293e6
0.043500000000000004	1.0720525651716965e6
0.044	1.0843605104233162e6
0.0445	1.0966678367516487e6
0.045	1.1089748002815887e6
0.0455	1.121281405473602e6
0.046	1.133587656774284e6
0.0465	1.1458935586164265e6
0.047	1.1581991154190649e6
0.0475	1.1705043315875463e6
0.048	1.182809211513557e6
0.0485	1.1951137595751996e6
0.049	1.2074179801370364e6
0.0495	1.2197217832232474e6
0.05	1.2320249393341297e6
0.0505	1.2443277849343596e6
0.051000000000000004	1.2566303279935594e6
0.051500000000000004	1.2689325763638832e6
0.052000000000000005	1.2812345379272213e6
0.0525	1.293536220558046e6
0.053	1.305837632123465e6
0.0535	1.3181387804833187e6
0.054	1.3304396734901858e6
0.0545	1.3427403189894704e6
0.055	1.3550407248118008e6
0.0555	1.3673408988045058e6
0.056	1.3796408487834095e6
0.0565	1.3919405825657428e6
0.057	1.4042401079618554e6
0.0575	1.4165398879541617e6
0.058	1.4288395120367212e6
0.0585	1.4411389425424447e6
0.059000000000000004	1.4534381830732934e6
0.059500000000000004	1.4657372372337221e6
0.06	1.4780361086306572e6
0.0605	1.4903348008735357e6
0.061	1.502633317574291e6
0.0615	1.5149316623473824e6
0.062	1.5272298388098092e6
0.0625	1.5395278505810983e6
0.063	1.5518257332120657e6
0.0635	1.564123483011924e6
0.064	1.5764210782992353e6
0.0645	1.588718522216231e6
0.065	1.6010158179174543e6
0.0655	1.6133129685557594e6
0.066	1.6256099772857884e6
0.0665	1.637906847264024e6
0.067	1.650203581648752e6
0.0675	1.6625001836000911e6
0.068	1.6747966562796072e6
0.0685	1.6870930028520282e6
0.069	1.6993892264825122e6
0.0695	1.7116853303386087e6
0.07	1.7239813175897244e6
0.07050000000000001	1.7362772376155106e6
0.07100000000000001	1.7485731655523926e6
0.07150000000000001	1.7608689844409237e6
0.07200000000000001	1.7731646960682487e6
0.0725	1.7854603022264894e6
0.073	1.7977558047127295e6
0.0735	1.810051205329006e6
0.074	1.8223465058823507e6
0.0745	1.8346417081847845e6
0.075	1.8469368140533287e6
0.0755	1.8592318253099902e6
0.076	1.8715267437818043e6
0.0765	1.8838226847604525e6
0.077	1.8961186699838173e6
0.0775	1.9084145490435963e6
0.078	1.9207103131599305e6
0.0785	1.9330059535328646e6
0.079	1.9453014613492684e6
0.0795	1.957596827782902e6
0.08	1.9698920439945434e6
0.0805	1.9821871011321088e6
0.081	1.9944819903307157e6
0.0815	2.0067767027128444e6
0.082	2.0190712293884202e6
0.0825	2.0313655614549099e6
0.083	2.0436596899974626e6
0.0835	2.0559536060889876e6
0.084	2.0682472462348405e6
0.0845	2.0805406262988467e6
0.085	2.0928337683299459e6
0.0855	2.1051266640677503e6
0.08600000000000001	2.117419305238575e6
0.08650000000000001	2.1297116835555914e6
0.08700000000000001	2.1420037907188954e6
0.08750000000000001	2.1542956184156616e6
0.088	2.1665871583202076e6
0.0885	2.1788784020941453e6
0.089	2.1911693413864803e6
0.0895	2.2034599452177994e6
0.09	2.215750139842687e6
0.0905	2.228040005788576e6
0.091	2.2403295356982737e6
0.0915	2.2526187220971347e6
0.092	2.264907557499795e6
0.0925	2.277196034410308e6
0.093	2.289484145322199e6
0.0935	2.3017718827185733e6
0.094	2.314059239072195e6
0.0945	2.3263462068455787e6
0.095	2.338632778491087e6
